lhûg,dragon,龙,lhuig
êl,star,星辰,elin
parf,book,书,perf
(n)daug,soldier,士兵,doeg
ivor,crystal,水晶,ivyr
(m)bachor,merchant,商人,bechyr
rhach,curse,诅咒,rhaich
galadh,tree,树,gelaidh
ulun,monster,怪兽,ylyn
heleg,ice,冰,helig
(n)garaf,wolf,狼,geraif
dim,sadness,悲伤,dim
magol,sword,剑,megyl
orod,mountain,山,eryd
gwath,shadow,暗影,gwaith
noss,family,家庭,nyss
ranc,arm,手臂,renc
hwest,breeze,微风,hwist
tâl,foot,脚,tail
(n)gaur,werewolf,座狼,goer
iôl,floodwater,洪水,ŷl
iest,wish,祈愿,ist
sîr,river,河,sîr
hîth,mist,迷雾,hîth
lass,leaf,树叶,laiss
balan,vala,维拉,belain
cair,ship,船,cîr
aran,king,王,erain
loth,flower,花,lyth
adan,man,凡人,edain
adar,father,父亲,edair
ael,lake,湖泊,aelin
alph,swan,天鹅,elph
amon,hill,山丘,emyn
(m)band,prison,监牢,bend
(m)bâr,home,家园,bair
barad,tower,高塔,beraid
(m)bauglir,tyrant,暴君,bauglir
bess,wife,妻子,biss
cam,hand,手,cem
caras,city,城市,cerais
caun,prince,王子,conin
certh,rune,符文/卢恩字母,cirth
cor,ring,指环,cyr
coth,foe,敌人,cyth
(n)dagor,battle,战斗,degyr
(n)dangweth,answer,答案,dengwith
(n)dôr,land,土地,dŷr
emel,mother,母亲,emil
eneth,name,名字,enith
fang,beard,胡须,feng
gond,stone,巨岩,gynd
gwend,maiden,少女,gwind
hadhod,dwalf,矮人,hedhyd
hanar,brother,兄弟,henair
haudh,tomb,坟墓,hoedh
hên,child,孩子,hîn
iant,bridge,桥,ient
lavan,animal,动物,levain
mellon,friend,朋友,mellyn
mund,bull,公牛,mynd
naug,dwalf,矮人,noeg
naur,fire,火焰,noer
nen,water,水,nin
nethel,sister,姐妹,nethil
ninglor,water-lily,金鸢尾,ningloer
onod,ent,树人,enyd
peth,word,词,pith
perian,halfling,半身人,periain
raef,net,网,raef
rant,course,航线,rent
roch,horse,马,rych
rusc,fox,狐狸,rysc
sad,place,位点,said
sant,garden,花园,sent
sarn,rock,石块,sern
sigil,necklace,项链,sigil
taith,sign,标记,taith
tathar,willow,垂柳,tethair
taur,forest,森林,toer
tegil,pen,笔,tegil
thoron,eagle,鹰,theryn
uial,twilight,微光,uial
ungol,spider,蜘蛛,yngyl
